race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
NHW,ADRD,"Unfavourable, e4+",1.29,0.08,16.94,2.0975447020966116e-64,1.14,1.44,3.63,3.13,4.21,FALSE, 2.1e-64,"OR [95% CI] = 3.63 [3.13, 4.21], p =  2.1e-64"
NHW,ADRD,"Favourable, e2+",-0.7,0.15,-4.59,4.522801670222737e-6,-1,-0.4,0.5,0.37,0.67,FALSE, 4.5e-06,"OR [95% CI] = 0.5 [0.37, 0.67], p =  4.5e-06"
NHW,ADRD,"Favourable, e3/e3",-0.49,0.07,-6.8,1.0603809140240124e-11,-0.64,-0.35,0.61,0.53,0.7,FALSE, 1.1e-11,"OR [95% CI] = 0.61 [0.53, 0.7], p =  1.1e-11"
NHW,ADRD,"Favourable, e4+",0.39,0.07,5.25,1.5057489470386434e-7,0.24,0.53,1.47,1.27,1.7,FALSE, 1.5e-07,"OR [95% CI] = 1.47 [1.27, 1.7], p =  1.5e-07"
NHW,ADRD,"Intermediate, e2+",-0.45,0.09,-5.15,2.558784180332849e-7,-0.63,-0.28,0.63,0.53,0.75,FALSE, 2.6e-07,"OR [95% CI] = 0.63 [0.53, 0.75], p =  2.6e-07"
NHW,ADRD,"Intermediate, e4+",0.99,0.05,21.23,5.389210843578818e-100,0.9,1.08,2.69,2.46,2.95,FALSE,5.4e-100,"OR [95% CI] = 2.69 [2.46, 2.95], p = 5.4e-100"
Latinx,ADRD,"Unfavourable, e2+",0.37,0.78,0.48,0.6325665632923789,-1.15,1.89,1.45,0.32,6.63,FALSE,0.63257,"OR [95% CI] = 1.45 [0.32, 6.63], p = 0.63257"
Latinx,ADRD,"Unfavourable, e3/e3",0.43,0.22,1.93,0.053917503333515165,-0.01,0.87,1.54,0.99,2.39,FALSE,0.05392,"OR [95% CI] = 1.54 [0.99, 2.39], p = 0.05392"
Latinx,ADRD,"Unfavourable, e4+",1.16,0.27,4.3,1.7174308855828417e-5,0.63,1.68,3.18,1.88,5.38,FALSE, 1.7e-05,"OR [95% CI] = 3.18 [1.88, 5.38], p =  1.7e-05"
Latinx,ADRD,"Favourable, e2+",-0.07,0.71,-0.09,0.9243991339876292,-1.46,1.32,0.94,0.23,3.75,FALSE,0.92440,"OR [95% CI] = 0.94 [0.23, 3.75], p = 0.92440"
Latinx,ADRD,"Favourable, e3/e3",-0.84,0.37,-2.26,0.023609003680370656,-1.58,-0.11,0.43,0.21,0.89,FALSE,0.02361,"OR [95% CI] = 0.43 [0.21, 0.89], p = 0.02361"
Latinx,ADRD,"Favourable, e4+",-0.39,0.43,-0.9,0.36796177081035575,-1.23,0.46,0.68,0.29,1.58,FALSE,0.36796,"OR [95% CI] = 0.68 [0.29, 1.58], p = 0.36796"
