race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
NHW,ADRD,"Favourable, e3/e3",-0.36,0.07,-5.03,4.900497745974462e-7,-0.5,-0.22,0.7,0.61,0.8,FALSE,4.9e-07,"OR [95% CI] = 0.7 [0.61, 0.8], p = 4.9e-07"
NHW,ADRD,"Favourable, e4+",0.68,0.07,9.12,7.448967824982773e-20,0.53,0.83,1.97,1.7,2.28,FALSE,7.4e-20,"OR [95% CI] = 1.97 [1.7, 2.28], p = 7.4e-20"
NHW,ADRD,"Intermediate, e2+",-0.43,0.09,-4.93,8.400782709514932e-7,-0.6,-0.26,0.65,0.55,0.77,FALSE,8.4e-07,"OR [95% CI] = 0.65 [0.55, 0.77], p = 8.4e-07"
NHW,ADRD,"Intermediate, e4+",1.01,0.05,21.91,2.1740495893425613e-106,0.92,1.1,2.74,2.5,2.99,FALSE,< 1e-100,"OR [95% CI] = 2.74 [2.5, 2.99], p = < 1e-100"
Latinx,ADRD,"Unfavourable, e2+",-0.12,0.85,-0.14,0.8872709150388572,-1.78,1.54,0.89,0.17,4.67,FALSE,0.88727,"OR [95% CI] = 0.89 [0.17, 4.67], p = 0.88727"
Latinx,ADRD,"Unfavourable, e3/e3",0.76,0.23,3.37,7.392260155945692e-4,0.32,1.2,2.14,1.37,3.32,FALSE,0.00074,"OR [95% CI] = 2.14 [1.37, 3.32], p = 0.00074"
Latinx,ADRD,"Unfavourable, e4+",1.45,0.26,5.54,3.06043772191697e-8,0.94,1.96,4.26,2.55,7.1,FALSE,3.1e-08,"OR [95% CI] = 4.26 [2.55, 7.1], p = 3.1e-08"
Latinx,ADRD,"Favourable, e2+",-0.32,0.68,-0.47,0.6400533751605537,-1.64,1.01,0.73,0.19,2.74,FALSE,0.64005,"OR [95% CI] = 0.73 [0.19, 2.74], p = 0.64005"
Latinx,ADRD,"Favourable, e3/e3",-0.51,0.35,-1.45,0.1457391044491968,-1.2,0.18,0.6,0.3,1.19,FALSE,0.14574,"OR [95% CI] = 0.6 [0.3, 1.19], p = 0.14574"
Latinx,ADRD,"Favourable, e4+",0.55,0.39,1.4,0.16108356972277357,-0.22,1.31,1.73,0.8,3.71,FALSE,0.16108,"OR [95% CI] = 1.73 [0.8, 3.71], p = 0.16108"
Latinx,ADRD,"Intermediate, e2+",0.34,0.47,0.72,0.4690507195897647,-0.58,1.26,1.41,0.56,3.54,FALSE,0.46905,"OR [95% CI] = 1.41 [0.56, 3.54], p = 0.46905"
Latinx,ADRD,"Intermediate, e4+",0.82,0.21,3.83,1.2783106459824837e-4,0.4,1.24,2.27,1.49,3.46,FALSE,0.00013,"OR [95% CI] = 2.27 [1.49, 3.46], p = 0.00013"
Black,ADRD,"Unfavourable, e2+",0.44,0.37,1.21,0.2256836645923658,-0.27,1.16,1.56,0.76,3.2,FALSE,0.22568,"OR [95% CI] = 1.56 [0.76, 3.2], p = 0.22568"
Black,ADRD,"Unfavourable, e3/e3",0.36,0.21,1.71,0.0881599625044342,-0.05,0.78,1.44,0.95,2.18,FALSE,0.08816,"OR [95% CI] = 1.44 [0.95, 2.18], p = 0.08816"
Black,ADRD,"Unfavourable, e4+",1.08,0.19,5.6,2.161760585013437e-8,0.7,1.46,2.94,2.01,4.29,FALSE,2.2e-08,"OR [95% CI] = 2.94 [2.01, 4.29], p = 2.2e-08"
Black,ADRD,"Favourable, e2+",-0.19,0.46,-0.42,0.6759072249299024,-1.09,0.71,0.83,0.34,2.02,FALSE,0.67591,"OR [95% CI] = 0.83 [0.34, 2.02], p = 0.67591"
Black,ADRD,"Favourable, e3/e3",0.29,0.29,1.01,0.31274699070988604,-0.28,0.86,1.34,0.76,2.37,FALSE,0.31275,"OR [95% CI] = 1.34 [0.76, 2.37], p = 0.31275"
Black,ADRD,"Favourable, e4+",1.27,0.22,5.67,1.3880561101309193e-8,0.83,1.71,3.57,2.3,5.54,FALSE,1.4e-08,"OR [95% CI] = 3.57 [2.3, 5.54], p = 1.4e-08"
Black,ADRD,"Intermediate, e2+",-0.6,0.28,-2.16,0.031117126708221175,-1.15,-0.05,0.55,0.32,0.95,FALSE,0.03112,"OR [95% CI] = 0.55 [0.32, 0.95], p = 0.03112"
Black,ADRD,"Intermediate, e4+",1.22,0.14,8.66,4.592129401058474e-18,0.95,1.5,3.4,2.58,4.49,FALSE,4.6e-18,"OR [95% CI] = 3.4 [2.58, 4.49], p = 4.6e-18"
Asian,ADRD,"Unfavourable, e2+",0.83,1.01,0.82,0.4101655338760475,-1.15,2.82,2.3,0.32,16.79,FALSE,0.41017,"OR [95% CI] = 2.3 [0.32, 16.79], p = 0.41017"
Asian,ADRD,"Unfavourable, e3/e3",0.58,0.39,1.49,0.13715216917317177,-0.19,1.35,1.79,0.83,3.87,FALSE,0.13715,"OR [95% CI] = 1.79 [0.83, 3.87], p = 0.13715"
Asian,ADRD,"Unfavourable, e4+",1.02,0.63,1.62,0.10505474862297765,-0.21,2.25,2.76,0.81,9.46,FALSE,0.10505,"OR [95% CI] = 2.76 [0.81, 9.46], p = 0.10505"
Asian,ADRD,"Favourable, e2+",-15.71,722.79,-0.02,0.9826635045139558,-1432.37,1400.96,0,0,Inf,FALSE,0.98266,"OR [95% CI] = 0 [0, Inf], p = 0.98266"
Asian,ADRD,"Favourable, e3/e3",-0.71,0.38,-1.84,0.06541711449793794,-1.46,0.05,0.49,0.23,1.05,FALSE,0.06542,"OR [95% CI] = 0.49 [0.23, 1.05], p = 0.06542"
Asian,ADRD,"Favourable, e4+",0.48,0.42,1.14,0.25618488875328393,-0.35,1.31,1.62,0.71,3.71,FALSE,0.25618,"OR [95% CI] = 1.62 [0.71, 3.71], p = 0.25618"
Asian,ADRD,"Intermediate, e2+",-0.31,0.4,-0.78,0.43603544927994015,-1.09,0.47,0.73,0.34,1.6,FALSE,0.43604,"OR [95% CI] = 0.73 [0.34, 1.6], p = 0.43604"
Asian,ADRD,"Intermediate, e4+",1.28,0.28,4.53,5.8899998275719275e-6,0.73,1.83,3.59,2.06,6.24,FALSE,5.9e-06,"OR [95% CI] = 3.59 [2.06, 6.24], p = 5.9e-06"
NHW,AD + MCI,"Unfavourable, e2+",0.17,0.17,0.96,0.334931620832573,-0.17,0.5,1.18,0.84,1.65,FALSE,0.33493,"OR [95% CI] = 1.18 [0.84, 1.65], p = 0.33493"
NHW,AD + MCI,"Unfavourable, e3/e3",0.25,0.07,3.66,2.481490919630741e-4,0.12,0.38,1.28,1.12,1.46,FALSE,0.00025,"OR [95% CI] = 1.28 [1.12, 1.46], p = 0.00025"
NHW,AD + MCI,"Unfavourable, e4+",1.27,0.07,17.02,6.280776410933182e-65,1.12,1.41,3.55,3.07,4.11,FALSE,6.3e-65,"OR [95% CI] = 3.55 [3.07, 4.11], p = 6.3e-65"
NHW,AD + MCI,"Favourable, e2+",-0.93,0.16,-5.81,6.307014955390416e-9,-1.24,-0.61,0.4,0.29,0.54,FALSE,6.3e-09,"OR [95% CI] = 0.4 [0.29, 0.54], p = 6.3e-09"
NHW,AD + MCI,"Favourable, e3/e3",-0.4,0.07,-5.87,4.416895826617274e-9,-0.54,-0.27,0.67,0.58,0.77,FALSE,4.4e-09,"OR [95% CI] = 0.67 [0.58, 0.77], p = 4.4e-09"
